     2.4406763262396D-02    5.8305152165172D-07    2.9967065016733D-10
     2.4879357150020D-02    5.7873927326492D-07    2.0694168481266D-10
     2.0323506548302D-02    3.8368739300384D-07    1.3140304484832D-10
     1.4081350122649D-02    1.6774069662621D-07    4.8689444858357D-11
     9.6782584144797D-03    5.3084981351464D-08    1.8705191382821D-11
     7.3173512293555D-03    1.2566191014940D-08   -9.3612840560631D-12
     3.0189161020220    3.0189161622950    2.4108418589904
     2.5632570556145    2.5632570367129    2.0236174435859
     2.2938791689474    2.2938792306536    1.7939183735964
     1.9705376643761    1.9705376589840    1.5114171331213
     1.7699178759665    1.7699178530870    1.3318341148292
     1.4609691261341    1.4609691681030    1.0524968696482
     1.0277168207647    1.0277168361217   0.70182132483388
    0.69442332226729   0.69442332156056   0.45360475198263
    0.37289113964731   0.37289114993549   0.18735095501949
    0.25202636079461   0.25202625084744    9.4706007925473D-02
    0.18945384648224   0.18945322564995    5.7410698018557D-02
    0.22446779979924   0.22446753053926    7.7173377434124D-02
    0.15440506993283   0.15440464232804    4.0644872663424D-02
    0.12721102622288   0.12721008998837    2.9523831007009D-02
     9.9515340462175D-02    9.9512779395123D-02    1.9838729938080D-02
     7.4383025608523D-02    7.4374983000545D-02    1.2495431957388D-02
     5.1464791028592D-02    5.1460043896521D-02    7.0335128547310D-03
     2.5406141426874D-02    2.5362097559271D-02    2.3948036093446D-03
     1.3623637116373D-02    1.3440941374769D-02    9.2273231860692D-04
     8.1138208181339D-03    7.9583775159220D-03    4.2482023101071D-04
     5.0045760582455D-03    4.2459893965625D-03    1.6847280974689D-04
     3.3320059311203D-03    2.9695595345659D-03    1.0113582095404D-04
     3.3113312483413D-03    1.1876428129092D-03    2.9106308176590D-05
     2.8441180410304D-02    1.3682496096377D-03    2.2709403064694D-05
     2.3795615671712D-03    4.9806372252866D-04    5.9010225950643D-06
     4.4202675440495D-03    2.6717676191155D-04    2.4633763710224D-06
     6.5005606940299D-03    1.7626424745767D-04    1.3438414360975D-06
     5.5017197950121D-03    1.3406914410145D-04    9.0512783872890D-07
     4.6166413003832D-03    1.0178494145824D-04    6.1622001050606D-07
     5.9845273479782D-03    7.0220582170622D-05    3.7824054201212D-07
     2.8041908468210D-02    5.7873105718648D-05    2.7723923308990D-07
     2.9585842936060D-02    5.6678415088226D-05    2.4299823248032D-07
